TN,Un Number,PSN,Class,SubClass,PG,Spec Prov,Packing Para,
*,UN3160,"LIQUEFIED GAS, TOXIC, FLAMMABLE, N.O.S,
Inhalation Hazard Zone A",2.3,2.1,,"P1, 1",A6.15.,
*,UN3160,"LIQUEFIED GAS, TOXIC, FLAMMABLE, N.O.S,
Inhalation Hazard Zone B",2.3,2.1,,"P2, 2",A6.4.,
*,UN3160,"LIQUEFIED GAS, TOXIC, FLAMMABLE, N.O.S,
Inhalation Hazard Zone C",2.3,2.1,,"P2, 3",A6.4.,
*,UN3160,"LIQUEFIED GAS, TOXIC, FLAMMABLE, N.O.S,
Inhalation Hazard Zone D",2.3,2.1,,"P2, 4",A6.4.,
*,UN3162,"LIQUEFIED GAS, TOXIC, N.O.S, Inhalation Hazard Zone A",2.3,,,"P1, 1",A6.15.,
*,UN3162,"LIQUEFIED GAS, TOXIC, N.O.S, Inhalation Hazard Zone B",2.3,,,"P2, 2",A6.4.,
*,UN3162,"LIQUEFIED GAS, TOXIC, N.O.S, Inhalation Hazard Zone C",2.3,,,"P2, 3",A6.4.,
*,UN3162,"LIQUEFIED GAS, TOXIC, N.O.S, Inhalation Hazard Zone D",2.3,,,"P2, 4",A6.4.,
*,UN3310,"LIQUEFIED GAS, TOXIC, OXIDIZING,
CORROSIVE, N.O.S, Inhalation Hazard Zone A",2.3,"5.1, 8",,"P1, 1",A6.15.,
*,UN3310,"LIQUEFIED GAS, TOXIC, OXIDIZING,
CORROSIVE, N.O.S, Inhalation Hazard Zone B",2.3,"2.1, 8",,"P2, 2",A6.4.,
*,UN3310,"LIQUEFIED GAS, TOXIC, OXIDIZING,
CORROSIVE, N.O.S, Inhalation Hazard Zone C",2.3,"2.1, 8",,"P2, 3",A6.4.,
*,UN3310,"LIQUEFIED GAS, TOXIC, OXIDIZING,
CORROSIVE, N.O.S, Inhalation Hazard Zone D",2.3,"2.1, 8",,"P2, 4",A6.4.,
*,UN3307,"LIQUEFIED GAS, TOXIC, OXIDIZING, N.O.S,
Inhalation Hazard Zone A",2.3,5.1,,"P1, 1",A6.15.,
*,UN3307,"LIQUEFIED GAS, TOXIC, OXIDIZING, N.O.S,
Inhalation Hazard Zone B",2.3,5.1,,"P2, 2",A6.4.,
*,UN3307,"LIQUEFIED GAS, TOXIC, OXIDIZING, N.O.S,
Inhalation Hazard Zone C",2.3,5.1,,"P2, 3",A6.4.,
*,UN3307,"LIQUEFIED GAS, TOXIC, OXIDIZING, N.O.S,
Inhalation Hazard Zone D",2.3,5.1,,"P2, 4",A6.4.,
,UN1058,"LIQUEFIED GASES, nonflammable charged with nitrogen, carbon dioxide or air",2.2,,,P5,"A6.3., A6.4.",
*,UN3161,"LIQUEFIED GASES, FLAMMABLE, N.O.S.",2.1,,,P4,"A6.3., A6.4.",
,,"Liquefied hydrocarbon gas, see HYDROCARBON
GAS MIXTURE, LIQUIFIED N.O.S.",,,,,,
,,"Liquefied natural gas, see NATURAL GAS
REFRIGERATED GAS or METHANE GAS, REFRIGERATED LIQUID",,,,,,
,,"Liquefied petroleum gas, see PETROLEUM GASES,
LIQUEFIED",,,,,,
,,"Liquids, other than those classified as flammable, corrosive, or toxic, charged with nitrogen, carbon,
dioxide or air, see COMPRESSED GAS, N.O.S.",,,,,,
,,"Liquor, see ALCOHOLIC BEVERAGES",,,,,,
,UN1415,LITHIUM,4.3,,I,"P3, A7, A19,
N45",A8.3.,
,,"Lithium acetylide ethylenediamine complex, see
WATER-REACTIVE SOLID, N.O.S.",,,,,,
,UN2445,"LITHIUM ALKYLS, LIQUID",4.2,4.3,I,P3,A8.5.,
,UN3433,"LITHIUM ALKYLS, SOLID",4.2,,,,FORBIDDEN,
,UN1410,LITHIUM ALUMINIUM HYDRIDE,4.3,,I,"P3, A19",A8.3.,
,UN1411,"LITHIUM ALUMINIUM HYDRIDE, ETHEREAL",4.3,3,I,"P3, A2, A11, N34",A8.2.,
,,"Lithium amide, see ALKALI METAL AMIDES",,,,,,
,UN3536,"LITHIUM BATTERIES INSTALLED IN A
CARGO TRANSPORT UNIT lithium ion batteries or
lithium metal batteries",9,,,"P5, 389",A13.8,
,UN1413,LITHIUM BOROHYDRIDE,4.3,,I,"P3, A19, N40",A8.3.,
,UN2830,LITHIUM FERROSILICON,4.3,,II,"P5, A19",A8.3.,
,UN1414,LITHIUM HYDRIDE,4.3,,I,"P3, A19, N40",A8.3.,
,UN2805,"LITHIUM HYDRIDE, FUSED SOLID",4.3,,II,"P5, A8, A19,
A20",A8.3.,
,UN2680,LITHIUM HYDROXIDE,8,,II,P5,A12.3.,
,UN2679,"LITHIUM HYDROXIDE, SOLUTION",8,,"II
III","P5
P5","A12.2.
A12.2.",
,UN1471,"LITHIUM HYPOCHLORITE, DRY or LITHIUM
HYPOCHLORITE MIXTURE",5.1,,"II
III","P5, A9, N34
P5, N34","A9.6.
A9.6",
,,Lithium in cartridges or cartouches; see LITHIUM,,,,,,
,UN3480,LITHIUM ION BATTERIES including lithium polymer batteries,9,,,"P5, 388",A13.7.,
,UN3481,"LITHIUM ION BATTERIES CONTAINED IN
EQUIPMENT including lithium polymer batteries",9,,,"P5, 388",A13.8.,
,UN3481,"LITHIUM ION BATTERIES PACKED WITH
EQUIPMENT including lithium polymer batteries",9,,,"P5, 388",A13.9.,
,UN3090,"LITHIUM METAL BATTERIES including lithium
alloy batteries",9,,,"P4, 388",A13.7.,
,UN3091,"LITHIUM METAL BATTERIES CONTAINED IN
EQUIPMENT including lithium alloy batteries",9,,,"P4, 388",A13.8.,
,UN3091,"LITHIUM METAL BATTERIES PACKED WITH
EQUIPMENT including lithium alloy batterie",9,,,"P4, 388",A13.9,
,UN2722,LITHIUM NITRATE,5.1,,III,"P5, A1",A9.6.,
,UN2806,LITHIUM NITRIDE,4.3,,I,"P3, A19, N40",A8.3.,
,UN1472,LITHIUM PEROXIDE,5.1,,II,"P5, A9, N34",A9.6.,
,,"Lithium silicide, see LITHIUM SILICON",,,,,,
,UN1417,LITHIUM SILICON,4.3,,II,"P5, A19, A20",A8.3.,
,,"LNG, see NATURAL GAS, REFRIGERATED LIQUID or METHANE, REFRIGERATED LIQUID",,,,,,
,UN1621,LONDON PURPLE,6.1,,II,P5,A10.5.,
,,"LPG, see PETROLEUM GASES, LIQUEFIED",,,,,,
,,"Lye solid, see SODIUM HYDROXIDE, SOLID",,,,,,
,,"Lye solution , see SODIUM HYDROXIDE, SOLUTIONS",,,,,,
,,"Lythene, see PETROLEUM DISTILLATES, N.O.S.",,,,,,
,UN1869,"MAGNESIUM or MAGNESIUM ALLOYS with
more than 50% magnesium in pellets, turnings or ribbons",4.1,,III,"P5, A1",A8.3.,
,UN3053,MAGNESIUM ALKYLS,4.2,4.3,I,P3,A8.5.,
,UN1419,MAGNESIUM ALUMINIUM PHOSPHIDE,4.3,6.1,I,"P3, A19, N34,
N40",A8.3.,
+,UN1622,MAGNESIUM ARSENATE,6.1,,II,P5,A10.5.,
,,"Magnesium bisulfite solution, see BISULFITES AQUEOUS SOLUTIONS, N.O.S.",,,,,,
,UN1473,MAGNESIUM BROMATE,5.1,,II,"P5, A1",A9.6.,
,UN2723,MAGNESIUM CHLORATE,5.1,,II,P5,A9.6.,
,,"Magnesium chloride and chlorate mixture, see
CHLORATE AND MAGNESIUM CHLORIDE MIXTURE, SOLID or CHLORATE AND
MAGNESIUM CHLORIDE MIXTURE SOLUTION",,,,,,
,UN2004,MAGNESIUM DIAMIDE,4.2,,II,"P5, A8, A19,
A20",A8.3.,
,UN2005,MAGNESIUM DIPHENYL,4.2,,I,P3,A8.11.,
,,"Magnesium dross, wet or hot",,,,,FORBIDDEN,
,UN2853,MAGNESIUM FLUOROSILICATE,6.1,,III,P5,A10.5.,
,UN2950,"MAGNESIUM GRANULES, COATED, particle size
not less than 149 Microns",4.3,,III,"P5, A1, A19",A8.3.,
,UN2010,MAGNESIUM HYDRIDE,4.3,,I,"P3, A19, N40",A8.3.,
,UN1474,MAGNESIUM NITRATE,5.1,,III,"P5, 332, A1",A9.6.,
,UN1475,MAGNESIUM PERCHLORATE,5.1,,II,P5,A9.6.,
,UN1476,MAGNESIUM PEROXIDE,5.1,,II,P5,A9.6.,
,UN2011,MAGNESIUM PHOSPHIDE,4.3,6.1,I,"P3, A19, N40",A8.3.,
,UN1418,"MAGNESIUM, POWDER or MAGNESIUM ALLOYS, POWDER",4.3,"4.2
4.2
4.2","I II
III","P3, A19 P5, A19
P5, A19","A8.3.
A8.3.
A8.3.",
,,"Magnesium scrap, see MAGNESIUM or
MAGNESIUM ALLOYS",,,,,,
,UN2624,MAGNESIUM SILICIDE,4.3,,II,"P5, A19, A20",A8.3.,
,,"Magnesium silicofluoride, see MAGNESIUM
FLUOROSILICATE",,,,,,
,UN2807,MAGNETIZED MATERIAL,9,,,P5,A13.11.,
,UN2215,MALEIC ANHYDRIDE,8,,III,P5,A12.3.,
,UN2215,"MALEIC ANHYDRIDE, MOLTEN",8,,,,FORBIDDEN,
,,"Malonic dinitrile or Malonodinitrile, see
MALONONITRILE",,,,,,
,UN2647,MALONONITRILE,6.1,,II,P5,A10.5.,
,,"Mancozeb (manganese, ethylenebisdithiocarbamate complex with zinc) see MANEB",,,,,,
,UN2210,MANEB or MANEB PREPARATIONS with not less than 60% maneb,4.2,4.3,III,"P5, A1, A19",A8.3.,
,UN2968,"MANEB STABILIZED or MANEB
PREPARATIONS, STABILIZED against self-heating",4.3,,III,"P5, A1, A19",A8.3.,
,,"Manganese ethylene-di-dithiocarbamate or Manganese ethylene-1,2-di-dithiocarbamate, see MANEB or MANEB, STABILIZED or MANEB
PREPARATION, STABILIZED",,,,,,
,,"Manganese (II) nitrate, see MANGANESE NITRATE",,,,,,
,UN2724,MANGANESE NITRATE,5.1,,III,"P5, A1",A9.6.,
,UN1330,MANGANESE RESINATE,4.1,,III,"P5, A1",A8.3.,
,,"Manganous nitrate, see MANGANESE NITRATE",,,,,,
,,Mannitan tetranitrate,,,,,FORBIDDEN,
,,Mannitol hexanitrate (dry),,,,,FORBIDDEN,
,UN0133,"MANNITOL HEXANITRATE, WETTED or
NITROMANNITE, WETTED with not less than 40% water, or mixture of alcohol and water, by mass",1.1D,,,P4,A5.6.,
,,"Marine pollutants, liquid, or solid, N.O.S., see
ENVIRONMENTALLY HAZARDOUS SUBSTANCES LIQUID, N.O.S. or ENVIRONMENTALLY HAZARDOUS
SUBSTANCES SOLID N.O.S.",,,,,,
,,"Mannitol hexanitrate, wetted with less than 40% water
or mixture of alcohol and water",,,,,FORBIDDEN,
,,"Matches, block, see MATCHES, STRIKE
ANYWHERE",,,,,,
,UN2254,"MATCHES, FUSEE",4.1,,III,P4,A8.14.,
,UN1944,"MATCHES, SAFETY(book, card or strike on box)",4.1,,III,P5,A8.14,
,UN1331,"MATCHES, STRIKE ANYWHERE",4.1,,III,P4,A8.14,
,,"Matches trick, see FIREWORKS",,,,,,
,UN1945,"MATCHES, WAX, VESTA",4.1,,III,P5,A8.14,
,,"Matting Acid, see SULFURIC ACID",,,,,,
,UN3291,"MEDICAL WASTE, N.O.S.",6.2,,II,"P5, A117",A10.10.,
,,"Medicine, N.O.S. in small inner packagings containing flammable aerosol and/or non-flammable aerosol and/or flammable liquid and/or toxic substance, N.O.S.,
see CONSUMER COMMODITY",,,,,,
,UN3248,"MEDICINE, LIQUID, FLAMMABLE, TOXIC, N.O.S.",3,"6.1
6.1",II III,P4 P5,"A7.2.
A7.2.",
,UN1851,"MEDICINE, LIQUID TOXIC, N.O.S.",6.1,,II III,P5 P5,"A10.4.
A10.4.",
,UN3249,"MEDICINE, SOLID, TOXIC, N.O.S.",6.1,,II III,P5 P5,"A10.5.
A10.5.",
,,"Memtetrahydrophthalic anhydride, see CORROSIVE
LIQUIDS, N.O.S.",,,,,,
,,"p-Mentha-1,8-diene, see DIPENTENE",,,,,,
*,UN3336,"MERCAPTANS, LIQUID, FLAMMABLE, N.O.S. or
MERCAPTAN MIXTURE, LIQUID, FLAMMABLE, N.O.S.",3,,"I II
III","P3 P5
P5","A7.2.
A7.2.
A7.2.",
*,UN1228,"MERCAPTANS, LIQUID, FLAMMABLE, TOXIC,
N.O.S. or MERCAPTAN MIXTURES, LIQUID,
FLAMMABLE, TOXIC, N.O.S.",3,"6.1
6.1",II III,P4 P5,"A7.2.
A7.2.",
*,UN3071,"MERCAPTANS, LIQUID, TOXIC, FLAMMABLE,
N.O.S. or MERCAPTAN MIXTURES, LIQUID,
TOXIC, FLAMMABLE, N.O.S., flashpoint not less than 23 degrees C",6.1,3,II,P5,A10.4.,
,,2-Mercaptoethanol see THIOGLYCOL,,,,,,
,,"2-Mercaptopropionic acid, see THIOLACTIC ACID",,,,,,
,UN0448,5-MERCAPTOTETRAZOL-1-ACETIC ACID,1.4C,,,P5,A5.9.,
,UN1623,MERCURIC ARSENATE,6.1,,II,P5,A10.5.,
,UN1624,MERCURIC CHLORIDE,6.1,,II,P5,A10.5.,
,,"Mercuric compounds, see MERCURY COMPOUNDS LIQUID, N.O.S. or MERCURY COMPOUNDS
SOLID, N.O.S.",,,,,,
,UN1625,MERCURIC NITRATE,6.1,,II,"P5, N73",A10.5.,
+,UN1626,MERCURIC POTASSIUM CYANIDE,6.1,,I,"P5, N74, N75",A10.5.,
,,"Mercuric salt, see MERCURY COMPOUND, LIQUID, N.O.S. MERCURY COMPOUND SOLID, N.O.S.",,,,,,
,,"Mercuric sulfocyanate, see MERCURY THIOCYANATE",,,,,,
,,"Mercuric Sulfate, see MERCURY SULFATE",,,,,,
,,"Mercurol, see MERCURY NUCLEATE",,,,,,
,,Mercurous azide,,,,,FORBIDDEN,
,,"Mercurous compounds, see MERCURY COMPOUNDS LIQUID or SOLID, N.O.S.",,,,,,
,UN1627,MERCUROUS NITRATE,6.1,,II,P5,A10.5.,
,,"Mercurous sulfate, see MERCURY SULFATE",,,,,,
,UN2809,MERCURY,8,6.1,III,P5,A12.9.,
,UN1629,MERCURY ACETATE,6.1,,II,P5,A10.5.,
,,Mercury acetylide,,,,,FORBIDDEN,
,UN1630,MERCURY AMMONIUM CHLORIDE,6.1,,II,P5,A10.5.,
*,UN2778,"MERCURY BASED PESTICIDES, LIQUID,
FLAMMABLE, TOXIC, flashpoint less than 23 degrees C",3,"6.1
6.1",I II,P3 P4,A7.2. A7.2,
*,UN3012,"MERCURY BASED PESTICIDES, LIQUID,
TOXIC",6.1,,"I
II III","P3
P4 P5","A10.4.
A10.4.
A10.4.",
*,UN3011,"MERCURY BASED PESTICIDES, LIQUID,
TOXIC, FLAMMABLE, flashpoint not less than 23 degrees C",6.1,3,"I
II III","P3
P4 P5","A10.4.
A10.4.
A10.4.",
*,UN2777,"MERCURY BASED PESTICIDES, SOLID, TOXIC",6.1,,"I II
III","P5 P5
P5","A10.5.
A10.5.
A10.5.",
,UN1631,MERCURY BENZOATE,6.1,,II,P5,A10.5.,
,,"Mercury bichloride, see MERCURIC CHLORIDE",,,,,,
,,"Mercury bisulfate, see MERCURY SULFATE",,,,,,
,UN1634,MERCURY BROMIDES,6.1,,II,P5,A10.5.,
,UN2024,"MERCURY COMPOUNDS, LIQUID, N.O.S.",6.1,,I II III,P3 P4 P5,"A10.4.
A10.4.
A10.4.",
,UN2025,"MERCURY COMPOUNDS, SOLID, N.O.S.",6.1,,I II III,P5 P5 P5,"A10.5.
A10.5.
A10.5.",
,UN3506,"MERCURY CONTAINED IN MANUFACTURED
ARTICLES",8,6.1,III,"P5, A191",A12.9,
,UN1636,MERCURY CYANIDE,6.1,,II,"P5, N74, N75",A10.5.,
,UN0135,"MERCURY FULMINATE, WETTED with not less
than 20% water, or mixture of alcohol and water, by mass",1.1A,,,"P3, 111, 117",A5.4.,
,,"Mercury fulminate, wetted with less than 20% water or mixture of alcohol and water",,,,,FORBIDDEN,
,UN1637,MERCURY GLUCONATE,6.1,,II,P5,A10.5.,
,UN1638,"MERCURY IODIDE, SOLUTION or MERCURY
IODIDE, SOLID",6.1,,II,P5,"A10.4., A10.5.",
,,"Mercury iodine aquabasic ammonobasic (Iodide of
Millon’s base)",,,,,FORBIDDEN,
,,Mercury Nitride,,,,,FORBIDDEN,
,UN1639,MERCURY NUCLEATE,6.1,,II,P5,A10.5.,
,UN1640,MERCURY OLEATE,6.1,,II,P5,A10.5.,
,UN1641,MERCURY OXIDE,6.1,,II,P5,A10.5.,
,UN1642,"MERCURY OXYCYANIDE, DESENSITIZED",6.1,,II,P5,A10.5.,
,,"Mercury oxycyanide, not desensitized",,,,,FORBIDDEN,
,UN1643,MERCURY POTASSIUM IODIDE,6.1,,II,P5,A10.5.,
,UN1644,MERCURY SALICYLATE,6.1,,II,P5,A10.5.,
+,UN1645,MERCURY SULFATES,6.1,,II,P5,A10.5.,
,UN1646,MERCURY THIOCYANATE,6.1,,II,P5,A10.5.,
,,"Mercury vapour tubes, see MERCURY CONTAINED
IN MANUFACTURED ARTICLES",,,,,,
,,"Mesitylene, see 1,3,5-TRIMETHYLBENZENE",,,,,,
,UN1229,MESITYL OXIDE,3,,III,P5,A7.2.,
*,UN3281,"METAL CARBONYLS, LIQUID,  N.O.S.",6.1,,"I
II III","P3, 5
P4 P5","A10.4.
A10.4.
A10.4.",
,UN3466,"METAL CARBONYLS, SOLID, N.O.S.",6.1,,"I II
III","P3, 5 P4
P5","A10.5 A10.5
A10.5",
*,UN2881,"METAL CATALYST, DRY",4.2,,I II III,"P3, N34 P5, N34 P5, N34","A8.11.
A8.11.
A8.11.",
,UN1378,"METAL CATALYST, WETTED with a visible excess of liquid",4.2,,II,"P5, A2, A8, N34",A8.3.,
,,"Metal catalyst, wetted without a visible excess of liquid",,,,,FORBIDDEN,
*,UN3182,"METAL HYDRIDES, FLAMMABLE, N.O.S.",4.1,,"II
III","P5, A1
P5, A1","A8.3.
A8.3.",
*,UN1409,"METAL HYDRIDES, WATER-REACTIVE, N.O.S.",4.3,,"I
II","P3, A19, N34, N40
P5, A19, N34, N40","A8.3.
A8.3.",
,UN3089,"METAL POWDERS, FLAMMABLE, N.O.S.",4.1,,"II
III","P5
P5","A8.3.
A8.3.",
*,UN3189,"METAL POWDER, SELF-HEATING, N.O.S.",4.2,,II III,P5 P5,"A8.3.
A8.3.",
,,Metal salts of methyl nitramine (dry),,,,,FORBIDDEN,
*,UN3181,"METAL SALTS OF ORGANIC COMPOUNDS,
FLAMMABLE, N.O.S.",4.1,,"II
III","P4, A1
P4, A1","A8.3.
A8.3.",
,UN1332,METALDEHYDE,4.1,,III,"P5, A1",A8.3.,
*,UN3208,"METALLIC SUBSTANCE, WATER-REACTIVE, N.O.S.",4.3,,"I II
III","P3, A7 P5, A7
P5, A7","A8.3.
A8.3.
A8.3.",
*,UN3209,"METALLIC SUBSTANCE, WATER-REACTIVE, SELF-HEATING, N.O.S.",4.3,"4.2
4.2
4.2","I
II III","P3, A7
P4, A7 P5, A7","A8.3.
A8.3.
A8.3.",
,UN2396,"METHACRYLALDEHYDE, STABILIZED",3,6.1,II,"P5, 387",A7.2.,
,UN2531,"METHACRYLIC ACID, STABILIZED",8,,III,"P5, 387",A12.2.,
,,"Methacrylic acid, unstabilized",,,,,FORBIDDEN,
+,UN3079,"METHACRYLONITRILE, STABILIZED",6.1,3,I,"P2, 2, 387",A10.6.,
,UN2614,METHALLYL ALCOHOL,3,,III,P5,A7.2.,
,,"Methanal, see FORMALDEHYDE SOLUTION, FLAMMABLE or FORMALDEHYDE SOLUTION",,,,,,
,,"Methane and hydrogen mixtures, see HYDROGEN AND METHANE, MIXTURES, COMPRESSED",,,,,,
,UN1971,"METHANE, COMPRESSED or NATURAL GAS,
COMPRESSED (with high methane content)",2.1,,,P4,"A6.3., A6.5.",
,UN1972,"METHANE, REFRIGERATED LIQUID(cryogenic liquid) or NATURAL GAS, REFRIGERATED
LIQUID (cryogenic liquid, with high  methane content)",2.1,,,P3,A6.11.,
,UN3246,METHANESULPHONYL CHLORIDE,6.1,8,I,"P2, 2",A10.6.,
D,UN1230,METHANOL,3,,II,P4,A7.2.,
+,UN1230,METHANOL,3,6.1,II,P4,A7.2.,
,,Methazoic acid,,,,,FORBIDDEN,
,,"2-Methoxyethyl acetate, see ETHYLENE GLYCOL
MONOMETHYL ETHER ACETATE",,,,,,
,UN2293,4-METHOXY-4-METHYLPENTAN-2-ONE,3,,III,P5,A7.2.,
,,"1-Methioxy-2-nitrobenzene or 1-Methoxy-3- nitrobenzene or 1-Methoxy-4-nitrobenzene, see NITROANISOLES, LIQUID or NITROANISOLES
SOLID",,,,,,
,UN3092,1-METHOXY-2-PROPANOL,3,,III,P5,A7.2.,
+,UN2605,METHOXYMETHYL ISOCYANATE,6.1,3,I,"P1, 1",A10.6.,
,UN1231,METHYL ACETATE,3,,II,P5,A7.2.,
,,"Methylacetylene and propadiene mixture, non-stabilized",,,,,FORBIDDEN,
,UN1060,"METHYL ACETYLENE AND PROPADIENE MIXTURES, STABILIZED",2.1,,,"P4, 387, N88","A6.3., A6.4.",
,,"beta-Methyl acrolein, see CROTONALDEHYDE",,,,,,
,UN1919,"METHYL ACRYLATE, STABILIZED",3,,II,"P5, 387",A7.2.,
,,"Methyl acrylate, unstabilized",,,,,FORBIDDEN,
,,"Methyl Alcohol, see METHANOL",,,,,,
,UN1234,METHYLAL,3,,II,P5,A7.2.,
,UN2554,METHYLALLYL CHLORIDE,3,,II,P5,A7.2.,
,,"Methyl amyl ketone, see AMYL METHYL KETONE",,,,,,
,UN1061,"METHYLAMINE, ANHYDROUS",2.1,,,"P4, N87","A6.3., A6.4.",
,UN1062,METHYL BROMIDE,2.3,,,"P2, 3, N86",A6.16.,
,UN1647,"METHYL BROMIDE AND ETHYLENE DIBROMIDE MIXTURES, LIQUID",6.1,,I,"P2, 2, N65",A10.6.,
,UN2643,METHYL BROMOACETATE,6.1,,II,P5,A10.4.,
,UN3371,2-METHYLBUTANAL,3,,II,P5,A7.2.,
,UN2397,3-METHYLBUTAN-2-ONE,3,,II,P5,A7.2.,
,UN2459,2-METHYL-1-BUTENE,3,,I,P3,A7.2.,
,UN2460,2-METHYL-2-BUTENE,3,,II,P5,A7.2.,
,UN2561,3-METHYL-1-BUTENE,3,,I,P3,A7.2.,
,UN2945,N-METHYLBUTYLAMINE,3,8,II,P4,A7.2.,
,UN2398,METHYL-TERT-BUTYL ETHER,3,,II,P5,A7.2.,
,UN1237,METHYL BUTYRATE,3,,II,P5,A7.2.,
,UN1063,METHYL CHLORIDE or REFRIGERANT GAS R40,2.1,,,"P4, N86","A6.3., A6.4.",
,,"Methyl chloride and chloropicrin mixtures, see
CHLOROPICRIN AND METHYL CHLORIDE MIXTURES",,,,,,
,UN1912,"METHYL CHLORIDE AND METHYLENE
CHLORIDE MIXTURE",2.1,,,"P4, N86","A6.3., A6.4.",
,UN2295,METHYL CHLOROACETATE,6.1,3,I,P5,A10.4.,
,,"Methyl chlorocarbonate, see METHYL CHLOROFORMATE",,,,,,
,,"Methyl chloroform, see
1,1,1-TRICHLOROETHANE",,,,,,
,UN1238,METHYL CHLOROFORMATE,6.1,"3, 8",I,"P1, 1, N34",A10.6.,
,,"Methyl bromide and chloropicrin mixtures  see
CHLOROPICRIN AND METHYL BROMIDE MIXTURES",,,,,,
,UN1239,METHYL CHLOROMETHYL ETHER,6.1,3,I,"P1, 1",A10.6.,
,,"Methyl-alpha-chloropropionate, see METHYL 2- CHLOROPROPIONATE",,,,,,
,UN2933,METHYL-2-CHLOROPROPIONATE,3,,III,P5,A7.2.,
,UN2534,METHYLCHLOROSILANE,2.3,"2.1, 8",,"P2, 2, A2, A7, N34",A6.19.,
,,"Methyl Cyanide, see ACETONITRILE",,,,,,
,UN2296,METHYLCYCLOHEXANE,3,,II,P5,A7.2.,
,UN2617,"METHYLCYCLOHEXANOLS, flammable",3,,III,P5,A7.2.,
,UN2297,METHYLCYCLOHEXANONE,3,,III,P5,A7.2.,
,UN2298,METHYLCYCLOPENTANE,3,,II,P5,A7.2.,
,UN2299,METHYL DICHLOROACETATE,6.1,,III,P5,A10.4.,
,,Methyldichloroarsine,,,,,FORBIDDEN,
D,NA1556,METHYLDICHLOROARSINE,6.1,,I,"P2, 2",A10.2,
,UN1242,METHYLDICHLOROSILANE,4.3,"3, 8",I,"P3, A2, A7,
N34",A8.2.,
,,"Methylene bromide, see DIBROMETHANE",,,,,,
,,"Methylene chloride, see DICHLOROMETHANE",,,,,,
,,"Methylene chloride and methyl chloride mixture, see
METHYL CHLORIDE AND METHYLENE CHLORIDE MIXTURE",,,,,,
,,"Methylene cyanide, see MALONONITRILE",,,,,,
,,"p,p’-Methylene dianiline, see 4,4’-
DIAMINODIPHENYLMETHANE",,,,,,
,,"Methylene dibromide, see DIBROMOMETHANE",,,,,,
,,"2,2-methylene-di-(3,4,6-trichlorophenol), see
HEXACHLOROPHENE",,,,,,
,,Methylene glycol dinitrate,,,,,FORBIDDEN,
,,"Methyl ethyl ether, see ETHYL METHYL ETHER",,,,,,
,UN1193,"METHYL ETHYL KETONE, or ETHYL METHYL
KETONE",3,,II,P5,A7.2.,
,,Methyl ethyl ketone peroxide(s) more than 50%,,,,,FORBIDDEN,
,,"Methyl ethyl ketone peroxide(s), not more than 52% when with 48% or more diluent type A",,,,,FORBIDDEN,
,UN2300,2-METHYL-5-ETHYLPYRIDINE,6.1,,III,P5,A10.4.,
,UN2454,"METHYL FLUORIDE or REFRIGERANT GAS
R41",2.1,,,P4,"A6.3., A6.4.",
,UN1243,METHYL FORMATE,3,,I,P3,A7.2.,
,UN2301,2-METHYLFURAN,3,,II,P5,A7.2.,
,,a-Methylglucoside Tetranitrate,,,,,FORBIDDEN,
,,a-Methylglycerol Trinitrate,,,,,FORBIDDEN,
,,"Methyl glycol, see ETHYLENE GLYCOL
MONOMETHYL ETHER",,,,,,
,,"Methyl glycol acetate, see ETHYLENE GLYCOL MONOMETHYL ETHER ACETATE",,,,,,
,UN3023,2-METHYL-2-HEPTANETHIOL,6.1,3,I,"P2, 2",A10.6.,
,UN2302,5-METHYLHEXAN-2-ONE,3,,III,P5,A7.2.,
,,"Methyl hydrate, see METHANOL",,,,,,
,UN1244,METHYLHYDRAZINE,6.1,"3, 8",I,"P1, 1, N34",A10.6.,
,,"Methyl hydroxide, see METHANOL",,,,,,
,,"1-Methylimidazole, see CORROSIVE LIQUID, N.O.S.",,,,,,
,UN2644,METHYL IODIDE,6.1,,I,"P2, 2",A10.6.,
,,"Methyl isoamyl ketone, see 5-METHYLHEXAN-2- ONE",,,,,,
,UN2053,METHYL ISOBUTYL CARBINOL,3,,III,P5,A7.2.,
,UN1245,METHYL ISOBUTYL KETONE,3,,II,P5,A7.2.,
,,"Methyl isobutyl ketone peroxide, in solution with more
than 9% by mass active oxygen",,,,,FORBIDDEN,
,UN2480,METHYL ISOCYANATE,6.1,3,I,"P1, 1",A10.6.,
,UN1246,"METHYL ISOPROPENYL KETONE, STABILIZED",3,,II,"P5, 387",A7.2.,
,,"Methyl isopropenyl ketone, unstabilized",,,,,FORBIDDEN,
,UN2477,METHYL ISOTHIOCYANATE,6.1,3,I,"P2, 2",A10.6.,
,UN2400,METHYL ISOVALERATE,3,,II,P5,A7.2.,
,UN1928,METHYL MAGNESIUM BROMIDE IN ETHYL ETHER,4.3,3,I,P3,A8.2.,
,UN1064,METHYL MERCAPTAN,2.3,2.1,,"P2, 3, N89",A6.4.,
,,"Methyl mercaptopropionaldehyde, see 4-
THIAPENTANAL",,,,,,
,UN1247,"METHYL METHACRYLATE MONOMER,
STABILIZED",3,,II,"P5, 387",A7.2.,
,,"Methyl methacrylate monomer, unstabilized",,,,,FORBIDDEN,
,UN2535,4-METHYLMORPHOLINE or N- METHYLMORPHOLINE,3,8,II,P5,A7.2.,
